Date,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,NVDA,PG,SHW,TRV,UNH,V,VZ,WMT
2017-12-14,40.257720947265625,135.13568115234375,58.7130012512207,86.45838928222656,280.0655822753906,122.29792785644531,102.46726989746094,29.41172981262207,83.04747772216797,104.25699615478516,212.05130004882812,147.858154296875,121.74444580078125,102.49090576171875,112.04502868652344,82.90975952148438,35.401084899902344,141.7541961669922,148.9867401123047,41.142276763916016,77.54618835449219,57.34606170654297,4.604485034942627,72.55977630615234,123.66368865966797,110.59544372558594,192.07205200195312,106.39017486572266,32.410972595214844,28.373737335205078
2017-12-15,40.666805267333984,136.7734832763672,58.957000732421875,87.6776123046875,280.1227111816406,122.64073181152344,103.68618774414062,29.63677215576172,83.18643188476562,104.91703796386719,213.4540557861328,148.22344970703125,122.55487060546875,101.4925765991211,112.68575286865234,84.08219146728516,35.524131774902344,142.50743103027344,148.9366912841797,41.311214447021484,79.52397918701172,57.57712173461914,4.730169773101807,73.26941680908203,124.77294921875,112.52239990234375,192.5668487548828,107.23814392089844,32.61532211303711,28.36789321899414
2017-12-18,41.23950958251953,136.07815551757812,59.52899932861328,88.7099609375,282.2193298339844,125.21575164794922,103.29298400878906,29.86182403564453,83.16561889648438,104.69074249267578,215.81954956054688,149.9688720703125,122.8249740600586,102.04498291015625,112.1636734008789,84.73176574707031,35.324161529541016,142.62208557128906,149.19952392578125,41.29652404785156,79.0936508178711,57.594879150390625,4.886724472045898,73.261474609375,126.11082458496094,112.78934478759766,193.30474853515625,106.98377227783203,32.974491119384766,28.598670959472656
2017-12-19,40.800048828125,136.64210510253906,59.36899948120117,88.23827362060547,283.2771301269531,126.16889190673828,102.48692321777344,29.72214126586914,83.26288604736328,105.42620086669922,212.88131713867188,150.98367309570312,122.44359588623047,101.97842407226562,112.14786529541016,84.37528228759766,35.47798156738281,141.9588623046875,149.18072509765625,41.30387496948242,78.59003448486328,57.088340759277344,4.84252405166626,73.10199737548828,127.26020050048828,113.06460571289062,192.75787353515625,105.65528869628906,32.71440887451172,28.861576080322266
2017-12-20,40.75563049316406,136.8275146484375,58.88100051879883,87.668701171875,283.8965759277344,127.51497650146484,101.6317138671875,30.0635929107666,83.99241638183594,103.42725372314453,211.8023223876953,152.0634002685547,122.93626403808594,101.79206848144531,111.65745544433594,84.08219146728516,35.43953323364258,140.96002197265625,148.26083374023438,41.21572494506836,78.3061752319336,56.51070022583008,4.859561920166016,72.98238372802734,128.02342224121094,112.8310317993164,193.0530242919922,105.63645935058594,32.67726135253906,28.84697914123535
2017-12-21,40.909915924072266,136.4953155517578,58.737998962402344,87.65979766845703,281.1614990234375,129.2873992919922,101.8578109741211,29.900623321533203,86.722900390625,103.31409454345703,216.64125061035156,152.6885528564453,122.1337890625,100.82706451416016,111.5783462524414,85.42097473144531,35.070369720458984,140.6980438232422,146.92164611816406,41.57564926147461,78.2878646850586,57.55934524536133,4.837093353271484,73.09400939941406,127.1551513671875,112.14701843261719,192.4540557861328,105.90970611572266,32.82587432861328,28.645416259765625
2017-12-22,40.909915924072266,136.29446411132812,58.417999267578125,87.8733901977539,281.22821044921875,130.2154083251953,100.88465118408203,29.9161319732666,86.83406066894531,102.46549224853516,214.94805908203125,152.7291259765625,121.95104217529297,101.4925765991211,110.83479309082031,85.11992645263672,35.062679290771484,140.34600830078125,146.8903350830078,41.39936065673828,78.29702758789062,56.244102478027344,4.82178258895874,73.46080780029297,127.63724517822266,112.10530090332031,190.9868621826172,106.1734848022461,32.93732452392578,28.68923568725586
2017-12-26,39.872032165527344,136.03953552246094,58.8380012512207,87.72209930419922,281.4759216308594,130.79229736328125,100.79618072509766,29.86182403564453,87.5288314819336,101.94688415527344,213.91050720214844,154.53952026367188,122.16557312011719,101.71222686767578,110.81108093261719,84.779296875,35.231876373291016,140.239501953125,147.34092712402344,41.38467025756836,78.1962890625,56.564022064208984,4.875363826751709,73.73988342285156,127.11193084716797,112.43062591552734,190.63963317871094,106.4561538696289,32.95591354370117,28.966739654541016
2017-12-27,39.8790283203125,136.1321563720703,59.112998962402344,88.22047424316406,281.7237548828125,131.69520568847656,100.90430450439453,29.923913955688477,87.23009490966797,101.49430084228516,212.44142150878906,154.40147399902344,122.31649780273438,101.91189575195312,111.19073486328125,84.93773651123047,35.324161529541016,141.3694305419922,147.81021118164062,41.38467025756836,78.48011779785156,55.941959381103516,4.8686981201171875,73.4368896484375,126.74423217773438,112.42228698730469,191.35154724121094,107.42655944824219,32.993072509765625,28.995954513549805
2017-12-28,39.991241455078125,135.390625,59.30500030517578,88.72774505615234,282.41949462890625,132.4476318359375,101.04192352294922,29.947181701660156,87.25093841552734,101.61686706542969,212.89791870117188,154.0686798095703,122.45952606201172,102.51751708984375,111.18285369873047,85.38927459716797,35.16267013549805,141.72145080566406,147.50987243652344,41.57564926147461,78.48929595947266,55.941959381103516,4.874378204345703,73.4129638671875,127.63102722167969,113.16471862792969,193.3915557861328,107.7375259399414,33.085960388183594,29.036848068237305
